user_id,age_group,subscription_type,preferred_device,user_persona
1,22-25,Basic,Laptop,Weekend Binger
2,26-30,Premium,Mobile,Premium Loyalist
3,26-30,Premium,TV,Casual Scroller
4,18-21,Basic,Mobile,Weekend Binger
5,18-21,Basic,Laptop,Weekend Binger
6,18-21,Premium,Mobile,Casual Scroller
7,18-21,Free,Mobile,Casual Scroller
8,18-21,Premium,Mobile,Weekend Binger
9,22-25,Basic,Mobile,Casual Scroller
10,22-25,Free,Mobile,Casual Scroller
11,22-25,Basic,Mobile,Weekend Binger
12,22-25,Free,Mobile,Premium Loyalist
13,26-30,Premium,Mobile,Casual Scroller
14,18-21,Free,Mobile,Weekend Binger
15,22-25,Free,Mobile,Casual Scroller
16,18-21,Basic,Mobile,Premium Loyalist
17,18-21,Basic,TV,Casual Scroller
18,22-25,Basic,Mobile,Weekend Binger
19,18-21,Basic,Mobile,Casual Scroller
20,18-21,Premium,Mobile,Weekend Binger
21,18-21,Premium,TV,Premium Loyalist
22,18-21,Basic,Mobile,Casual Scroller
23,18-21,Premium,Mobile,Casual Scroller
24,18-21,Basic,Mobile,Casual Scroller
25,22-25,Free,Mobile,Weekend Binger
26,18-21,Basic,Mobile,Weekend Binger
27,18-21,Basic,Mobile,Casual Scroller
28,18-21,Basic,TV,Casual Scroller
29,22-25,Free,Laptop,Weekend Binger
30,18-21,Basic,Mobile,Premium Loyalist
31,22-25,Premium,Mobile,Weekend Binger
32,18-21,Premium,Mobile,Weekend Binger
33,18-21,Premium,Mobile,Casual Scroller
34,18-21,Premium,Mobile,Casual Scroller
35,22-25,Basic,Mobile,Casual Scroller
36,26-30,Basic,Laptop,Casual Scroller
37,22-25,Premium,Mobile,Weekend Binger
38,18-21,Premium,TV,Casual Scroller
39,22-25,Free,Mobile,Casual Scroller
40,18-21,Basic,Laptop,Premium Loyalist
41,22-25,Premium,Mobile,Casual Scroller
42,18-21,Basic,Mobile,Casual Scroller
43,22-25,Basic,Mobile,Weekend Binger
44,22-25,Basic,TV,Casual Scroller
45,18-21,Premium,Laptop,Casual Scroller
46,22-25,Premium,Mobile,Weekend Binger
47,18-21,Basic,Mobile,Weekend Binger
48,22-25,Free,Laptop,Weekend Binger
49,22-25,Free,Mobile,Casual Scroller
50,18-21,Basic,Mobile,Casual Scroller
51,22-25,Basic,Laptop,Weekend Binger
52,18-21,Premium,Mobile,Casual Scroller
53,22-25,Basic,Mobile,Weekend Binger
54,18-21,Premium,Laptop,Premium Loyalist
55,18-21,Basic,Mobile,Premium Loyalist
56,18-21,Premium,Mobile,Weekend Binger
57,18-21,Premium,Mobile,Casual Scroller
58,18-21,Basic,Mobile,Casual Scroller
59,26-30,Premium,Mobile,Weekend Binger
60,22-25,Free,TV,Premium Loyalist
61,22-25,Basic,Mobile,Weekend Binger
62,26-30,Basic,Laptop,Weekend Binger
63,18-21,Premium,Laptop,Weekend Binger
64,18-21,Basic,Laptop,Casual Scroller
65,22-25,Basic,Mobile,Weekend Binger
66,26-30,Basic,Mobile,Weekend Binger
67,22-25,Basic,Mobile,Casual Scroller
68,22-25,Premium,Mobile,Casual Scroller
69,22-25,Basic,Mobile,Weekend Binger
70,22-25,Premium,TV,Casual Scroller
71,26-30,Premium,TV,Casual Scroller
72,18-21,Free,Mobile,Casual Scroller
73,18-21,Free,Mobile,Casual Scroller
74,22-25,Free,Mobile,Premium Loyalist
75,18-21,Free,Mobile,Casual Scroller
76,18-21,Basic,Mobile,Casual Scroller
77,26-30,Basic,Laptop,Casual Scroller
78,18-21,Basic,Laptop,Casual Scroller
79,26-30,Free,Laptop,Weekend Binger
80,18-21,Basic,Laptop,Casual Scroller
81,22-25,Free,TV,Weekend Binger
82,18-21,Basic,TV,Casual Scroller
83,18-21,Basic,Mobile,Casual Scroller
84,18-21,Basic,Mobile,Casual Scroller
85,26-30,Basic,Laptop,Casual Scroller
86,22-25,Premium,Mobile,Weekend Binger
87,22-25,Basic,Mobile,Premium Loyalist
88,26-30,Basic,Mobile,Weekend Binger
89,18-21,Basic,Laptop,Casual Scroller
90,26-30,Premium,Laptop,Casual Scroller
91,22-25,Basic,Laptop,Weekend Binger
92,22-25,Free,Mobile,Casual Scroller
93,18-21,Premium,Mobile,Casual Scroller
94,22-25,Basic,Mobile,Casual Scroller
95,22-25,Basic,TV,Casual Scroller
96,18-21,Free,Mobile,Casual Scroller
97,18-21,Basic,Laptop,Premium Loyalist
98,18-21,Free,TV,Casual Scroller
99,18-21,Free,Laptop,Weekend Binger
100,18-21,Free,Laptop,Weekend Binger
101,22-25,Basic,Mobile,Casual Scroller
102,18-21,Free,Laptop,Weekend Binger
103,18-21,Basic,Mobile,Casual Scroller
104,22-25,Basic,Mobile,Weekend Binger
105,18-21,Free,Laptop,Premium Loyalist
106,22-25,Basic,Mobile,Casual Scroller
107,22-25,Premium,Mobile,Weekend Binger
108,18-21,Basic,TV,Weekend Binger
109,18-21,Premium,Laptop,Weekend Binger
110,22-25,Basic,Mobile,Casual Scroller
111,22-25,Premium,Mobile,Casual Scroller
112,22-25,Basic,Mobile,Casual Scroller
113,22-25,Basic,Mobile,Casual Scroller
114,18-21,Basic,Mobile,Casual Scroller
115,18-21,Basic,Mobile,Casual Scroller
116,18-21,Basic,Mobile,Casual Scroller
117,22-25,Premium,Mobile,Weekend Binger
118,22-25,Free,Laptop,Premium Loyalist
119,22-25,Basic,TV,Casual Scroller
120,26-30,Premium,Mobile,Weekend Binger
121,22-25,Basic,Mobile,Weekend Binger
122,26-30,Basic,Mobile,Casual Scroller
123,18-21,Premium,Mobile,Casual Scroller
124,26-30,Basic,TV,Weekend Binger
125,22-25,Premium,Mobile,Weekend Binger
126,22-25,Basic,Mobile,Casual Scroller
127,22-25,Basic,Mobile,Casual Scroller
128,22-25,Free,TV,Weekend Binger
129,18-21,Basic,Mobile,Weekend Binger
130,18-21,Basic,Mobile,Premium Loyalist
131,22-25,Free,TV,Weekend Binger
132,18-21,Basic,Mobile,Weekend Binger
133,22-25,Basic,Laptop,Weekend Binger
134,22-25,Premium,Mobile,Casual Scroller
135,18-21,Basic,Laptop,Weekend Binger
136,18-21,Free,Mobile,Casual Scroller
137,22-25,Premium,Mobile,Weekend Binger
138,26-30,Basic,Mobile,Casual Scroller
139,26-30,Basic,Mobile,Weekend Binger
140,18-21,Basic,Mobile,Weekend Binger
141,22-25,Free,Laptop,Casual Scroller
142,18-21,Free,Mobile,Premium Loyalist
143,18-21,Basic,Mobile,Casual Scroller
144,26-30,Basic,Laptop,Weekend Binger
145,22-25,Premium,Mobile,Premium Loyalist
146,22-25,Premium,Laptop,Premium Loyalist
147,22-25,Basic,Mobile,Casual Scroller
148,18-21,Premium,Mobile,Weekend Binger
149,18-21,Basic,TV,Weekend Binger
150,22-25,Basic,Mobile,Weekend Binger
151,18-21,Basic,Laptop,Premium Loyalist
152,26-30,Basic,Mobile,Casual Scroller
153,22-25,Basic,Mobile,Weekend Binger
154,26-30,Premium,Mobile,Weekend Binger
155,18-21,Free,Mobile,Weekend Binger
156,26-30,Basic,Mobile,Casual Scroller
157,18-21,Basic,Mobile,Weekend Binger
158,22-25,Basic,Mobile,Premium Loyalist
159,18-21,Basic,Mobile,Weekend Binger
160,18-21,Free,Mobile,Premium Loyalist
161,18-21,Basic,Mobile,Premium Loyalist
162,18-21,Premium,Mobile,Premium Loyalist
163,22-25,Premium,Mobile,Casual Scroller
164,22-25,Premium,Laptop,Casual Scroller
165,26-30,Basic,TV,Casual Scroller
166,18-21,Premium,Laptop,Weekend Binger
167,22-25,Premium,Mobile,Weekend Binger
168,22-25,Basic,Mobile,Weekend Binger
169,22-25,Basic,Mobile,Premium Loyalist
170,26-30,Premium,Mobile,Weekend Binger
171,18-21,Basic,Mobile,Premium Loyalist
172,18-21,Basic,Laptop,Premium Loyalist
173,26-30,Free,Mobile,Casual Scroller
174,26-30,Premium,Laptop,Premium Loyalist
175,18-21,Premium,Mobile,Weekend Binger
176,18-21,Free,Mobile,Casual Scroller
177,18-21,Premium,Laptop,Weekend Binger
178,26-30,Premium,TV,Casual Scroller
179,18-21,Premium,Mobile,Casual Scroller
180,18-21,Basic,Laptop,Casual Scroller
181,26-30,Premium,Mobile,Casual Scroller
182,18-21,Basic,Mobile,Weekend Binger
