user_id,content_id,watch_minutes,session_date,is_binge,show_id,primary_genre,content_category,is_mature,age_group,subscription_type,preferred_device,user_persona
611,s689,145,2025-01-18,1,s689,Comedies,Short-form,False,18-21,Basic,Mobile,Weekend Binger
2811,s2274,105,2025-02-12,0,s2274,Action & Adventure,Short-form,False,22-25,Free,TV,Casual Scroller
2753,s8452,92,2025-12-24,0,s8452,Comedies,Short-form,False,22-25,Basic,Laptop,Casual Scroller
28,s95,110,2025-07-26,0,s95,Children & Family Movies,Short-form,False,18-21,Basic,TV,Casual Scroller
1085,s3055,148,2025-07-05,1,s3055,Comedies,Short-form,False,18-21,Basic,TV,Weekend Binger
4640,s3705,132,2025-06-16,1,s3705,Crime TV Shows,Binge-worthy,True,18-21,Basic,Mobile,Weekend Binger
3465,s2216,154,2025-07-18,1,s2216,Children & Family Movies,Short-form,False,18-21,Premium,Laptop,Casual Scroller
734,s6104,154,2025-09-29,1,s6104,Dramas,Short-form,False,18-21,Basic,Mobile,Casual Scroller
4335,s2709,70,2025-10-05,0,s2709,International TV Shows,Binge-worthy,True,18-21,Free,Mobile,Weekend Binger
2576,s8131,52,2025-06-30,0,s8131,Comedies,Short-form,False,18-21,Premium,Mobile,Casual Scroller
2188,s1524,80,2025-06-03,0,s1524,Comedies,Short-form,False,18-21,Basic,Mobile,Weekend Binger
3799,s2160,86,2025-01-15,0,s2160,Comedies,Short-form,False,22-25,Basic,Laptop,Weekend Binger
763,s6001,163,2025-08-15,1,s6001,Comedies,Short-form,True,18-21,Premium,Mobile,Casual Scroller
1004,s3295,127,2025-10-06,1,s3295,British TV Shows,Binge-worthy,False,18-21,Premium,Mobile,Casual Scroller
1003,s4876,166,2025-02-14,1,s4876,Dramas,Short-form,True,26-30,Premium,Mobile,Casual Scroller
3016,s5932,32,2025-08-11,0,s5932,Documentaries,Short-form,True,18-21,Basic,Laptop,Casual Scroller
2668,s1779,149,2025-03-05,1,s1779,Kids' TV,Binge-worthy,False,22-25,Basic,Mobile,Weekend Binger
4958,s3740,133,2025-06-01,1,s3740,Comedies,Short-form,False,18-21,Free,TV,Casual Scroller
4878,s3331,16,2025-07-23,0,s3331,International TV Shows,Binge-worthy,False,26-30,Basic,Laptop,Weekend Binger
3032,s6513,75,2025-01-05,0,s6513,Comedies,Short-form,False,18-21,Basic,Mobile,Weekend Binger
4557,s1915,107,2025-02-11,0,s1915,Docuseries,Binge-worthy,True,22-25,Free,Laptop,Casual Scroller
2618,s2119,54,2025-08-14,0,s2119,Kids' TV,Binge-worthy,False,26-30,Basic,Mobile,Weekend Binger
2121,s1046,21,2025-03-14,0,s1046,Reality TV,Binge-worthy,False,22-25,Free,Mobile,Weekend Binger
4012,s7575,9,2025-06-01,0,s7575,British TV Shows,Binge-worthy,False,22-25,Premium,Mobile,Weekend Binger
1480,s667,45,2025-02-26,0,s667,International TV Shows,Binge-worthy,False,18-21,Basic,Mobile,Weekend Binger
613,s2899,139,2025-06-18,1,s2899,Dramas,Short-form,True,22-25,Basic,Laptop,Casual Scroller
3522,s5468,85,2025-11-03,0,s5468,Documentaries,Short-form,False,18-21,Basic,Laptop,Weekend Binger
3593,s7,42,2025-10-15,0,s7,Children & Family Movies,Short-form,False,18-21,Premium,Mobile,Casual Scroller
4337,s5413,175,2025-05-04,1,s5413,Crime TV Shows,Binge-worthy,False,22-25,Basic,Mobile,Weekend Binger
4062,s6311,98,2025-10-19,0,s6311,Stand-Up Comedy,Short-form,False,18-21,Basic,Laptop,Casual Scroller
3648,s3544,173,2025-09-12,1,s3544,British TV Shows,Binge-worthy,False,22-25,Basic,Mobile,Casual Scroller
3442,s7903,32,2025-10-18,0,s7903,Action & Adventure,Short-form,False,18-21,Basic,TV,Weekend Binger
872,s5065,175,2025-10-31,1,s5065,Action & Adventure,Short-form,True,18-21,Basic,Mobile,Casual Scroller
2343,s2536,149,2025-06-06,1,s2536,Dramas,Short-form,False,18-21,Premium,Mobile,Weekend Binger
3978,s1046,102,2025-01-01,0,s1046,Reality TV,Binge-worthy,False,18-21,Premium,Mobile,Casual Scroller
1897,s6988,54,2025-06-08,0,s6988,Comedies,Short-form,True,22-25,Basic,Mobile,Casual Scroller
4641,s5964,166,2025-11-20,1,s5964,Dramas,Short-form,False,18-21,Basic,Laptop,Casual Scroller
2580,s4134,138,2025-04-29,1,s4134,Horror Movies,Short-form,True,26-30,Basic,Laptop,Weekend Binger
152,s1984,43,2025-09-24,0,s1984,Anime Series,Binge-worthy,True,26-30,Basic,Mobile,Casual Scroller
2183,s366,67,2025-01-06,0,s366,Dramas,Short-form,False,18-21,Premium,Laptop,Premium Loyalist
2842,s2714,43,2025-01-09,0,s2714,Action & Adventure,Short-form,False,26-30,Basic,Mobile,Casual Scroller
403,s6385,106,2025-09-08,0,s6385,Children & Family Movies,Short-form,False,18-21,Basic,Laptop,Premium Loyalist
1270,s7191,71,2025-05-27,0,s7191,Dramas,Short-form,False,22-25,Premium,Mobile,Casual Scroller
1489,s6121,164,2025-05-20,1,s6121,Horror Movies,Short-form,True,26-30,Premium,Mobile,Weekend Binger
1042,s6211,111,2025-01-14,0,s6211,Dramas,Short-form,True,18-21,Premium,TV,Casual Scroller
1353,s4676,171,2025-06-20,1,s4676,Comedies,Short-form,True,26-30,Premium,Mobile,Weekend Binger
3710,s640,29,2025-08-16,0,s640,Anime Series,Binge-worthy,False,22-25,Premium,Laptop,Premium Loyalist
1852,s6837,122,2025-03-16,1,s6837,Crime TV Shows,Binge-worthy,True,18-21,Free,Laptop,Casual Scroller
2291,s2389,168,2025-11-27,1,s2389,Kids' TV,Binge-worthy,False,26-30,Basic,Mobile,Weekend Binger
2548,s4638,56,2025-07-30,0,s4638,Docuseries,Binge-worthy,False,22-25,Basic,Laptop,Casual Scroller
650,s5828,30,2025-05-24,0,s5828,Kids' TV,Binge-worthy,False,18-21,Premium,Mobile,Weekend Binger
181,s2498,61,2025-11-30,0,s2498,Dramas,Short-form,False,26-30,Premium,Mobile,Casual Scroller
4200,s6289,84,2025-02-06,0,s6289,Documentaries,Short-form,False,18-21,Basic,Laptop,Weekend Binger
2030,s6929,15,2025-05-29,0,s6929,Comedies,Short-form,True,22-25,Premium,Laptop,Weekend Binger
4953,s2056,61,2025-08-28,0,s2056,Dramas,Short-form,True,22-25,Premium,Mobile,Premium Loyalist
3893,s3661,171,2025-12-23,1,s3661,International TV Shows,Binge-worthy,False,22-25,Premium,Laptop,Premium Loyalist
2455,s3273,39,2025-04-25,0,s3273,Anime Features,Short-form,False,22-25,Free,Mobile,Weekend Binger
4463,s1563,167,2025-12-08,1,s1563,International TV Shows,Binge-worthy,True,18-21,Basic,Mobile,Weekend Binger
3863,s2,170,2025-04-20,1,s2,International TV Shows,Binge-worthy,True,22-25,Basic,Mobile,Casual Scroller
3444,s3041,143,2025-12-23,1,s3041,International TV Shows,Binge-worthy,True,22-25,Basic,Mobile,Weekend Binger
3366,s5417,166,2025-11-29,1,s5417,Stand-Up Comedy,Short-form,True,26-30,Basic,Mobile,Casual Scroller
4517,s176,44,2025-12-11,0,s176,Dramas,Short-form,True,22-25,Premium,Laptop,Premium Loyalist
2846,s334,69,2025-09-16,0,s334,Classic Movies,Short-form,False,22-25,Basic,Mobile,Weekend Binger
4795,s873,104,2025-10-13,0,s873,Dramas,Short-form,True,18-21,Free,Mobile,Casual Scroller
1803,s5502,137,2025-09-20,1,s5502,Comedies,Short-form,True,22-25,Basic,Mobile,Weekend Binger
3540,s7725,144,2025-10-17,1,s7725,Children & Family Movies,Short-form,False,18-21,Basic,Mobile,Weekend Binger
1993,s6187,142,2025-03-17,1,s6187,Children & Family Movies,Short-form,False,22-25,Basic,Laptop,Casual Scroller
406,s2452,128,2025-01-18,1,s2452,Action & Adventure,Short-form,False,18-21,Basic,Laptop,Weekend Binger
1368,s1913,71,2025-12-14,0,s1913,Action & Adventure,Short-form,False,18-21,Free,Mobile,Premium Loyalist
4261,s8365,13,2025-05-20,0,s8365,Dramas,Short-form,True,26-30,Free,Mobile,Weekend Binger
330,s754,39,2025-07-16,0,s754,International TV Shows,Binge-worthy,True,18-21,Basic,TV,Casual Scroller
4148,s6871,66,2025-04-24,0,s6871,Comedies,Short-form,False,22-25,Premium,Laptop,Casual Scroller
